cluster_idx	average mz	average RT	average charge	num spectra
4	222.214	-1	8.24995e+08	2
6	226.94	-1	8.24995e+08	2
9	235.916	-1	8.24995e+08	2
23	272.985	-1	8.24995e+08	2
25	276.444	-1	8.24995e+08	2
31	283.112	-1	8.24995e+08	2
33	287.157	-1	8.24995e+08	2
34	290.644	-1	8.24995e+08	2
35	293.158	-1	8.24995e+08	2
37	295.116	-1	3.29998e+08	5
38	300.672	-1	2.35713e+08	7
39	301.223	-1	5.49997e+08	3
40	303.456	-1	5.49997e+08	3
41	304.159	-1	8.24995e+08	2
42	308.13	-1	8.24995e+08	2
43	309.188	-1	8.24995e+08	2
47	312.675	-1	5.49997e+08	3
51	315.539	-1	5.49997e+08	3
52	316.95	-1	8.24995e+08	2
55	318.436	-1	8.24995e+08	2
57	320.171	-1	4.12498e+08	4
60	322.642	-1	8.24995e+08	2
61	325.133	-1	3.29998e+08	5
63	327.413	-1	4.12498e+08	4
66	329.286	-1	8.24995e+08	2
67	330.784	-1	8.24995e+08	2
68	333.413	-1	4.12498e+08	4
69	335.917	-1	8.24995e+08	2
71	337.381	-1	4.12498e+08	4
72	339.193	-1	5.49997e+08	3
73	342.136	-1	8.24995e+08	2
74	343.224	-1	8.24995e+08	2
76	344.708	-1	8.24995e+08	2
77	347.165	-1	4.12498e+08	4
78	348.883	-1	3.29998e+08	5
79	350.935	-1	8.24995e+08	2
81	352.877	-1	8.24995e+08	2
83	356.822	-1	5.49997e+08	3
85	358.361	-1	2.74998e+08	6
87	359.912	-1	8.24995e+08	2
88	362.727	-1	5.49997e+08	3
90	364.168	-1	4.12498e+08	4
91	365.27	-1	8.24995e+08	2
93	366.471	-1	5.49997e+08	3
95	368.482	-1	3.29998e+08	5
97	370.715	-1	4.12498e+08	4
98	371.295	-1	8.24995e+08	2
101	373.74	-1	8.24995e+08	2
102	375.716	-1	5.49997e+08	3
103	376.531	-1	8.24995e+08	2
107	379.105	-1	4.12498e+08	4
110	380.683	-1	8.24995e+08	2
111	382.798	-1	5.49997e+08	3
112	383.867	-1	4.12498e+08	4
114	384.265	-1	8.24995e+08	2
117	386.064	-1	2.74998e+08	6
120	387.298	-1	8.24995e+08	2
122	388.285	-1	5.49997e+08	3
128	391.603	-1	2.35713e+08	7
133	393.201	-1	8.24995e+08	2
134	394.538	-1	3.29998e+08	5
136	396.171	-1	5.49997e+08	3
137	397.362	-1	2.74998e+08	6
138	398.727	-1	2.35713e+08	7
140	400.695	-1	2.35713e+08	7
141	401.998	-1	4.12498e+08	4
143	404.592	-1	2.35713e+08	7
145	406.215	-1	5.49997e+08	3
148	408.128	-1	4.12498e+08	4
155	412.273	-1	4.12498e+08	4
156	413.508	-1	3.29998e+08	5
158	415.829	-1	4.12498e+08	4
163	418.22	-1	4.12498e+08	4
164	419.465	-1	8.24995e+08	2
166	420.749	-1	8.24995e+08	2
168	422.505	-1	2.74998e+08	6
169	423.749	-1	2.74998e+08	6
172	425.35	-1	4.12498e+08	4
175	426.672	-1	3.29998e+08	5
179	427.804	-1	3.29998e+08	5
181	428.838	-1	2.74998e+08	6
184	429.574	-1	8.24995e+08	2
186	431.122	-1	4.12498e+08	4
188	432.355	-1	5.49997e+08	3
191	434.241	-1	2.74998e+08	6
192	435.489	-1	4.12498e+08	4
195	437.999	-1	2.06249e+08	8
198	439.219	-1	4.12498e+08	4
200	440.27	-1	2.74998e+08	6
205	441.396	-1	3.29998e+08	5
207	442.246	-1	4.12498e+08	4
212	443.722	-1	3.29998e+08	5
213	444.857	-1	5.49997e+08	3
215	445.312	-1	8.24995e+08	2
217	446.675	-1	2.74998e+08	6
219	448.64	-1	1.83332e+08	9
225	449.977	-1	3.29998e+08	5
230	451.696	-1	3.29998e+08	5
231	453.161	-1	2.06249e+08	8
233	454.226	-1	5.49997e+08	3
235	455.429	-1	3.29998e+08	5
239	456.998	-1	2.06249e+08	8
242	458.21	-1	8.24995e+08	2
243	458.561	-1	5.49997e+08	3
247	459.228	-1	5.49997e+08	3
250	460.519	-1	2.35713e+08	7
252	461.511	-1	8.24995e+08	2
254	462.259	-1	8.24995e+08	2
255	463.867	-1	1.26922e+08	13
264	465.174	-1	1.37499e+08	12
268	466.337	-1	2.35713e+08	7
271	467.214	-1	5.49997e+08	3
274	468.36	-1	2.35713e+08	7
276	469.743	-1	1.83332e+08	9
282	471.37	-1	1.64999e+08	10
285	472.35	-1	1.26922e+08	13
289	473.844	-1	2.35713e+08	7
291	474.638	-1	8.24995e+08	2
294	475.225	-1	8.24995e+08	2
300	477.164	-1	2.74998e+08	6
305	478.36	-1	2.06249e+08	8
307	479.752	-1	2.74998e+08	6
310	480.813	-1	4.12498e+08	4
312	482.508	-1	1.49999e+08	11
319	484.426	-1	2.74998e+08	6
322	486.033	-1	1.49999e+08	11
325	486.359	-1	8.24995e+08	2
327	487.175	-1	4.12498e+08	4
332	488.655	-1	2.74998e+08	6
333	490.08	-1	4.12498e+08	4
336	491.182	-1	1.64999e+08	10
341	492.826	-1	2.06249e+08	8
343	494.266	-1	1.26922e+08	13
345	495.192	-1	2.06249e+08	8
348	497.024	-1	1.83332e+08	9
351	498.592	-1	1.09999e+08	15
357	500.628	-1	1.64999e+08	10
363	501.902	-1	8.24995e+08	2
365	503.228	-1	2.35713e+08	7
367	504.346	-1	2.35713e+08	7
370	505.741	-1	3.29998e+08	5
373	507.019	-1	2.35713e+08	7
378	507.27	-1	8.24995e+08	2
379	508.043	-1	2.06249e+08	8
381	508.947	-1	2.06249e+08	8
385	510.629	-1	1.49999e+08	11
390	512.181	-1	2.35713e+08	7
395	513.029	-1	2.74998e+08	6
399	513.527	-1	1.83332e+08	9
402	515.18	-1	2.74998e+08	6
404	516.352	-1	4.12498e+08	4
409	517.285	-1	3.29998e+08	5
412	518.951	-1	2.35713e+08	7
419	519.718	-1	2.74998e+08	6
420	520.519	-1	3.29998e+08	5
423	521.683	-1	2.35713e+08	7
424	523.377	-1	1.37499e+08	12
425	524.002	-1	3.29998e+08	5
429	525.635	-1	2.35713e+08	7
435	526.783	-1	2.06249e+08	8
437	527.322	-1	8.24995e+08	2
438	529.096	-1	2.06249e+08	8
440	529.269	-1	2.06249e+08	8
441	530.249	-1	2.74998e+08	6
442	530.928	-1	5.49997e+08	3
444	531.173	-1	5.49997e+08	3
445	532.747	-1	1.83332e+08	9
453	534.391	-1	1.37499e+08	12
455	535.222	-1	2.74998e+08	6
460	537.62	-1	2.74998e+08	6
462	537.333	-1	4.12498e+08	4
467	539.963	-1	1.49999e+08	11
471	540.34	-1	8.24995e+08	2
472	541.341	-1	2.74998e+08	6
477	542.596	-1	2.74998e+08	6
478	542.417	-1	8.24995e+08	2
482	544.489	-1	3.29998e+08	5
484	544.34	-1	8.24995e+08	2
485	544.802	-1	8.24995e+08	2
488	546.978	-1	1.49999e+08	11
493	548.449	-1	1.64999e+08	10
498	549.764	-1	4.12498e+08	4
500	551.233	-1	3.29998e+08	5
502	552.212	-1	3.29998e+08	5
504	553.621	-1	2.35713e+08	7
509	554.4	-1	1.37499e+08	12
512	556.044	-1	3.29998e+08	5
513	556.958	-1	2.74998e+08	6
514	556.811	-1	8.24995e+08	2
516	557.361	-1	4.12498e+08	4
518	558.77	-1	2.35713e+08	7
521	560.508	-1	1.17856e+08	14
524	561.741	-1	1.37499e+08	12
526	563.082	-1	1.49999e+08	11
528	564.216	-1	1.64999e+08	10
529	564.681	-1	3.29998e+08	5
531	566.61	-1	1.49999e+08	11
538	568.256	-1	2.06249e+08	8
539	569.849	-1	2.06249e+08	8
544	571.379	-1	2.74998e+08	6
546	572.967	-1	1.49999e+08	11
553	574.908	-1	2.35713e+08	7
554	575.323	-1	5.49997e+08	3
558	576.775	-1	8.24995e+08	2
560	578.439	-1	8.24995e+08	2
563	580.175	-1	3.29998e+08	5
564	582.426	-1	2.35713e+08	7
568	583.074	-1	1.37499e+08	12
571	583.342	-1	8.24995e+08	2
572	583.991	-1	2.74998e+08	6
575	585.489	-1	2.06249e+08	8
576	586.951	-1	2.06249e+08	8
581	588.078	-1	2.74998e+08	6
584	588.377	-1	8.24995e+08	2
585	589.145	-1	4.12498e+08	4
586	590.061	-1	2.74998e+08	6
588	590.437	-1	5.49997e+08	3
589	590.35	-1	8.24995e+08	2
591	591.874	-1	1.64999e+08	10
593	593.226	-1	1.37499e+08	12
596	594.669	-1	1.64999e+08	10
598	595.633	-1	2.74998e+08	6
601	597.216	-1	1.49999e+08	11
602	598.061	-1	2.06249e+08	8
605	598.22	-1	8.24995e+08	2
607	599.072	-1	2.35713e+08	7
608	600.216	-1	1.83332e+08	9
610	601.612	-1	8.24995e+08	2
611	601.358	-1	8.24995e+08	2
613	601.693	-1	4.12498e+08	4
616	603.26	-1	1.26922e+08	13
622	604.381	-1	2.35713e+08	7
623	605.246	-1	3.29998e+08	5
624	605.225	-1	8.24995e+08	2
625	605.24	-1	8.24995e+08	2
628	606.656	-1	2.74998e+08	6
629	607.817	-1	1.83332e+08	9
636	610.233	-1	1.03124e+08	16
638	611.333	-1	3.29998e+08	5
640	613.271	-1	2.06249e+08	8
645	614.408	-1	5.49997e+08	3
647	616.016	-1	3.29998e+08	5
653	617.398	-1	4.12498e+08	4
656	619.264	-1	2.35713e+08	7
658	620.211	-1	8.24995e+08	2
659	620.402	-1	2.06249e+08	8
662	621.387	-1	2.74998e+08	6
665	622.802	-1	8.24995e+08	2
671	624.146	-1	1.64999e+08	10
674	625.185	-1	2.74998e+08	6
677	625.67	-1	1.64999e+08	10
679	627.334	-1	2.74998e+08	6
682	629.509	-1	2.35713e+08	7
684	628.314	-1	8.24995e+08	2
689	629.819	-1	1.49999e+08	11
691	629.39	-1	8.24995e+08	2
692	631.401	-1	1.83332e+08	9
697	632.371	-1	1.64999e+08	10
704	634.581	-1	2.06249e+08	8
708	635.373	-1	1.49999e+08	11
713	636.466	-1	1.49999e+08	11
717	637.35	-1	1.49999e+08	11
719	638.912	-1	1.37499e+08	12
722	639.872	-1	1.64999e+08	10
727	641.916	-1	1.83332e+08	9
729	642.355	-1	8.24995e+08	2
731	643.181	-1	2.35713e+08	7
733	643.406	-1	8.24995e+08	2
734	644.205	-1	2.74998e+08	6
738	645.339	-1	1.09999e+08	15
742	647.298	-1	1.83332e+08	9
745	647.345	-1	8.24995e+08	2
747	649.09	-1	1.03124e+08	16
748	650.101	-1	2.74998e+08	6
750	651.183	-1	1.37499e+08	12
753	652.5	-1	5.49997e+08	3
755	653.793	-1	8.24995e+08	2
758	655.153	-1	3.29998e+08	5
760	655.412	-1	8.24995e+08	2
763	656.44	-1	2.35713e+08	7
765	658.053	-1	9.70583e+07	17
770	658.781	-1	2.74998e+08	6
775	660.249	-1	2.35713e+08	7
777	661.138	-1	4.12498e+08	4
780	661.394	-1	8.24995e+08	2
785	663.263	-1	2.35713e+08	7
789	664.366	-1	1.83332e+08	9
791	664.401	-1	8.24995e+08	2
792	665.121	-1	4.12498e+08	4
795	667.476	-1	2.35713e+08	7
798	668.919	-1	2.06249e+08	8
799	669.398	-1	8.24995e+08	2
800	671.043	-1	2.74998e+08	6
802	672.134	-1	2.74998e+08	6
804	673.62	-1	4.12498e+08	4
805	674.377	-1	8.24995e+08	2
806	675.233	-1	5.49997e+08	3
810	676.313	-1	1.64999e+08	10
812	677.456	-1	2.06249e+08	8
816	679.342	-1	1.37499e+08	12
817	680.424	-1	2.74998e+08	6
819	681.16	-1	4.12498e+08	4
820	682.931	-1	1.64999e+08	10
823	685.15	-1	2.35713e+08	7
824	686.529	-1	1.03124e+08	16
826	687.92	-1	3.29998e+08	5
828	689.504	-1	7.49996e+07	22
830	691.167	-1	2.06249e+08	8
833	691.429	-1	4.12498e+08	4
836	693.034	-1	2.74998e+08	6
838	695.614	-1	1.09999e+08	15
840	697.391	-1	8.24995e+08	2
841	697.495	-1	4.12498e+08	4
846	699.338	-1	3.29998e+08	5
848	700.223	-1	2.74998e+08	6
851	700.473	-1	8.24995e+08	2
855	701.67	-1	2.74998e+08	6
860	703.02	-1	1.64999e+08	10
861	702.87	-1	8.24995e+08	2
862	702.88	-1	4.12498e+08	4
866	704.69	-1	2.06249e+08	8
867	705.692	-1	5.49997e+08	3
869	706.42	-1	8.24995e+08	2
872	708.68	-1	1.83332e+08	9
874	709.626	-1	3.29998e+08	5
876	710.601	-1	1.49999e+08	11
880	712.2	-1	2.35713e+08	7
883	713.553	-1	2.74998e+08	6
886	714.854	-1	1.83332e+08	9
888	715.074	-1	8.24995e+08	2
889	716.037	-1	2.06249e+08	8
892	716.429	-1	5.49997e+08	3
895	717.657	-1	2.74998e+08	6
898	719.295	-1	3.29998e+08	5
900	721.744	-1	2.35713e+08	7
904	723.689	-1	4.12498e+08	4
906	724.555	-1	2.35713e+08	7
907	725.628	-1	2.35713e+08	7
911	726.826	-1	1.83332e+08	9
915	728.818	-1	2.06249e+08	8
918	729.408	-1	8.24995e+08	2
919	729.932	-1	2.74998e+08	6
924	730.89	-1	2.06249e+08	8
927	732.205	-1	1.49999e+08	11
929	733.661	-1	3.29998e+08	5
932	735.642	-1	2.35713e+08	7
935	736.708	-1	1.83332e+08	9
942	737.887	-1	3.29998e+08	5
945	739.113	-1	2.06249e+08	8
950	740.468	-1	1.03124e+08	16
957	741.657	-1	3.29998e+08	5
958	743.014	-1	2.06249e+08	8
961	744.309	-1	2.35713e+08	7
971	745.669	-1	4.12498e+08	4
973	747.028	-1	1.17856e+08	14
976	748.152	-1	1.37499e+08	12
979	749.62	-1	2.35713e+08	7
982	750.604	-1	1.64999e+08	10
983	750.411	-1	5.49997e+08	3
984	750.412	-1	8.24995e+08	2
985	750.411	-1	5.49997e+08	3
987	751.945	-1	1.26922e+08	13
988	751.451	-1	8.24995e+08	2
992	753.631	-1	1.49999e+08	11
997	755.083	-1	1.09999e+08	15
1000	754.448	-1	8.24995e+08	2
1001	754.465	-1	8.24995e+08	2
1003	755.556	-1	3.29998e+08	5
1004	757.35	-1	1.37499e+08	12
1008	758.475	-1	5.49997e+08	3
1012	759.948	-1	1.64999e+08	10
1013	761.07	-1	1.26922e+08	13
1018	762.862	-1	1.64999e+08	10
1019	763.95	-1	1.49999e+08	11
1021	764.471	-1	8.24995e+08	2
1022	765.294	-1	1.83332e+08	9
1026	766.409	-1	4.12498e+08	4
1028	767.511	-1	1.64999e+08	10
1031	768.443	-1	8.24995e+08	2
1032	768.483	-1	8.24995e+08	2
1033	768.951	-1	1.26922e+08	13
1035	770.216	-1	5.49997e+08	3
1036	770.914	-1	1.64999e+08	10
1037	770.796	-1	8.24995e+08	2
1044	772.429	-1	1.49999e+08	11
1045	771.601	-1	8.24995e+08	2
1048	773.853	-1	8.24995e+08	2
1051	773.615	-1	1.83332e+08	9
1054	775.575	-1	3.29998e+08	5
1056	776.622	-1	2.74998e+08	6
1058	777.408	-1	1.83332e+08	9
1059	778.799	-1	1.37499e+08	12
1064	780.077	-1	2.35713e+08	7
1067	781.852	-1	2.35713e+08	7
1068	782.692	-1	1.83332e+08	9
1074	783.647	-1	2.74998e+08	6
1076	783.536	-1	8.24995e+08	2
1079	785.14	-1	1.37499e+08	12
1080	785.81	-1	8.24995e+08	2
1082	786.379	-1	2.06249e+08	8
1088	787.271	-1	2.35713e+08	7
1093	788.34	-1	8.24995e+08	2
1095	789.448	-1	4.12498e+08	4
1099	790.945	-1	9.70583e+07	17
1101	792.137	-1	2.35713e+08	7
1102	792.505	-1	8.24995e+08	2
1104	793.818	-1	1.83332e+08	9
1105	794.907	-1	2.06249e+08	8
1107	796.134	-1	2.06249e+08	8
1111	797.229	-1	1.64999e+08	10
1115	798.224	-1	3.29998e+08	5
1116	799.087	-1	1.83332e+08	9
1121	801.432	-1	4.12498e+08	4
1125	802.16	-1	2.74998e+08	6
1130	803.374	-1	4.12498e+08	4
1136	804.669	-1	1.83332e+08	9
