cluster_idx	scan	mz	RTINSECONDS	charge	index in file	source filename
1	1	205.211	-1	0	1	MSV000078787_specs_ms.mgf
1	2	206.2	-1	0	2	MSV000078787_specs_ms.mgf
3	4	222.213	-1	0	4	MSV000078787_specs_ms.mgf
3	5	222.215	-1	0	5	MSV000078787_specs_ms.mgf
27	29	276.078	-1	0	29	MSV000078787_specs_ms.mgf
27	31	276.811	-1	0	31	MSV000078787_specs_ms.mgf
33	36	283.111	-1	0	36	MSV000078787_specs_ms.mgf
33	37	283.113	-1	0	37	MSV000078787_specs_ms.mgf
39	43	293.12	-1	0	43	MSV000078787_specs_ms.mgf
39	45	293.197	-1	0	45	MSV000078787_specs_ms.mgf
41	46	295.101	-1	0	46	MSV000078787_specs_ms.mgf
41	48	295.101	-1	0	48	MSV000078787_specs_ms.mgf
41	49	295.125	-1	0	49	MSV000078787_specs_ms.mgf
41	50	295.15	-1	0	50	MSV000078787_specs_ms.mgf
43	51	300.165	-1	0	51	MSV000078787_specs_ms.mgf
43	53	300.203	-1	0	53	MSV000078787_specs_ms.mgf
43	54	300.744	-1	0	54	MSV000078787_specs_ms.mgf
43	55	300.744	-1	0	55	MSV000078787_specs_ms.mgf
43	56	301.147	-1	0	56	MSV000078787_specs_ms.mgf
43	57	301.148	-1	0	57	MSV000078787_specs_ms.mgf
48	61	303.099	-1	0	61	MSV000078787_specs_ms.mgf
48	63	304.085	-1	0	63	MSV000078787_specs_ms.mgf
50	64	304.156	-1	0	64	MSV000078787_specs_ms.mgf
50	65	304.161	-1	0	65	MSV000078787_specs_ms.mgf
51	66	308.072	-1	0	66	MSV000078787_specs_ms.mgf
51	67	308.188	-1	0	67	MSV000078787_specs_ms.mgf
58	74	312.657	-1	0	74	MSV000078787_specs_ms.mgf
58	77	313.183	-1	0	77	MSV000078787_specs_ms.mgf
66	83	317.256	-1	0	83	MSV000078787_specs_ms.mgf
66	86	318.181	-1	0	86	MSV000078787_specs_ms.mgf
66	87	318.692	-1	0	87	MSV000078787_specs_ms.mgf
70	89	319.215	-1	0	89	MSV000078787_specs_ms.mgf
70	91	320.156	-1	0	91	MSV000078787_specs_ms.mgf
70	93	320.192	-1	0	93	MSV000078787_specs_ms.mgf
76	97	325.071	-1	0	97	MSV000078787_specs_ms.mgf
76	98	325.099	-1	0	98	MSV000078787_specs_ms.mgf
76	99	325.103	-1	0	99	MSV000078787_specs_ms.mgf
76	100	325.165	-1	0	100	MSV000078787_specs_ms.mgf
76	101	325.228	-1	0	101	MSV000078787_specs_ms.mgf
78	104	326.198	-1	0	104	MSV000078787_specs_ms.mgf
78	105	327.153	-1	0	105	MSV000078787_specs_ms.mgf
78	107	328.148	-1	0	107	MSV000078787_specs_ms.mgf
78	108	328.153	-1	0	108	MSV000078787_specs_ms.mgf
83	111	330.303	-1	0	111	MSV000078787_specs_ms.mgf
83	112	331.264	-1	0	112	MSV000078787_specs_ms.mgf
84	113	333.148	-1	0	113	MSV000078787_specs_ms.mgf
84	115	333.187	-1	0	115	MSV000078787_specs_ms.mgf
90	120	337.123	-1	0	120	MSV000078787_specs_ms.mgf
90	121	337.184	-1	0	121	MSV000078787_specs_ms.mgf
90	122	337.605	-1	0	122	MSV000078787_specs_ms.mgf
93	125	339.235	-1	0	125	MSV000078787_specs_ms.mgf
93	126	339.256	-1	0	126	MSV000078787_specs_ms.mgf
94	127	342.064	-1	0	127	MSV000078787_specs_ms.mgf
94	128	342.208	-1	0	128	MSV000078787_specs_ms.mgf
95	129	343.145	-1	0	129	MSV000078787_specs_ms.mgf
95	131	343.303	-1	0	131	MSV000078787_specs_ms.mgf
97	132	344.254	-1	0	132	MSV000078787_specs_ms.mgf
97	133	345.163	-1	0	133	MSV000078787_specs_ms.mgf
98	134	347.144	-1	0	134	MSV000078787_specs_ms.mgf
98	135	347.158	-1	0	135	MSV000078787_specs_ms.mgf
98	136	347.161	-1	0	136	MSV000078787_specs_ms.mgf
98	137	347.196	-1	0	137	MSV000078787_specs_ms.mgf
99	138	348.195	-1	0	138	MSV000078787_specs_ms.mgf
99	142	349.188	-1	0	142	MSV000078787_specs_ms.mgf
109	149	356.187	-1	0	149	MSV000078787_specs_ms.mgf
109	150	357.117	-1	0	150	MSV000078787_specs_ms.mgf
109	151	357.162	-1	0	151	MSV000078787_specs_ms.mgf
111	154	357.314	-1	0	154	MSV000078787_specs_ms.mgf
111	155	357.314	-1	0	155	MSV000078787_specs_ms.mgf
111	156	358.313	-1	0	156	MSV000078787_specs_ms.mgf
111	158	359.177	-1	0	158	MSV000078787_specs_ms.mgf
111	159	359.297	-1	0	159	MSV000078787_specs_ms.mgf
111	160	359.752	-1	0	160	MSV000078787_specs_ms.mgf
111	161	360.072	-1	0	161	MSV000078787_specs_ms.mgf
119	167	364.17	-1	0	167	MSV000078787_specs_ms.mgf
119	168	364.171	-1	0	168	MSV000078787_specs_ms.mgf
119	171	365.111	-1	0	171	MSV000078787_specs_ms.mgf
