precursor_charge	precursor_mz	identifier	scan	retention_time	cluster_idex	index in file
0	222.213	MSV000078787_specs_ms.mgf	4	-1	4	4
0	222.215	MSV000078787_specs_ms.mgf	5	-1	4	5
0	226.654	MSV000078787_specs_ms.mgf	7	-1	6	7
0	227.225	MSV000078787_specs_ms.mgf	9	-1	6	9
0	235.601	MSV000078787_specs_ms.mgf	11	-1	9	11
0	236.23	MSV000078787_specs_ms.mgf	12	-1	9	12
0	272.817	MSV000078787_specs_ms.mgf	26	-1	23	26
0	273.153	MSV000078787_specs_ms.mgf	27	-1	23	27
0	276.078	MSV000078787_specs_ms.mgf	29	-1	25	29
0	276.811	MSV000078787_specs_ms.mgf	31	-1	25	31
0	283.111	MSV000078787_specs_ms.mgf	36	-1	31	36
0	283.113	MSV000078787_specs_ms.mgf	37	-1	31	37
0	287.138	MSV000078787_specs_ms.mgf	39	-1	33	39
0	287.176	MSV000078787_specs_ms.mgf	40	-1	33	40
0	290.187	MSV000078787_specs_ms.mgf	42	-1	34	42
0	291.102	MSV000078787_specs_ms.mgf	41	-1	34	41
0	293.12	MSV000078787_specs_ms.mgf	43	-1	35	43
0	293.197	MSV000078787_specs_ms.mgf	45	-1	35	45
0	295.101	MSV000078787_specs_ms.mgf	46	-1	37	46
0	295.103	MSV000078787_specs_ms.mgf	47	-1	37	47
0	295.101	MSV000078787_specs_ms.mgf	48	-1	37	48
0	295.125	MSV000078787_specs_ms.mgf	49	-1	37	49
0	295.15	MSV000078787_specs_ms.mgf	50	-1	37	50
0	300.165	MSV000078787_specs_ms.mgf	51	-1	38	51
0	300.203	MSV000078787_specs_ms.mgf	53	-1	38	53
0	300.553	MSV000078787_specs_ms.mgf	52	-1	38	52
0	300.744	MSV000078787_specs_ms.mgf	54	-1	38	54
0	300.744	MSV000078787_specs_ms.mgf	55	-1	38	55
0	301.147	MSV000078787_specs_ms.mgf	56	-1	38	56
0	301.148	MSV000078787_specs_ms.mgf	57	-1	38	57
0	301.174	MSV000078787_specs_ms.mgf	58	-1	39	58
0	301.246	MSV000078787_specs_ms.mgf	59	-1	39	59
0	301.248	MSV000078787_specs_ms.mgf	60	-1	39	60
0	303.099	MSV000078787_specs_ms.mgf	61	-1	40	61
0	303.184	MSV000078787_specs_ms.mgf	62	-1	40	62
0	304.085	MSV000078787_specs_ms.mgf	63	-1	40	63
0	304.156	MSV000078787_specs_ms.mgf	64	-1	41	64
0	304.161	MSV000078787_specs_ms.mgf	65	-1	41	65
0	308.072	MSV000078787_specs_ms.mgf	66	-1	42	66
0	308.188	MSV000078787_specs_ms.mgf	67	-1	42	67
0	309.142	MSV000078787_specs_ms.mgf	68	-1	43	68
0	309.234	MSV000078787_specs_ms.mgf	69	-1	43	69
0	312.185	MSV000078787_specs_ms.mgf	73	-1	47	73
0	312.657	MSV000078787_specs_ms.mgf	74	-1	47	74
0	313.183	MSV000078787_specs_ms.mgf	77	-1	47	77
0	315.221	MSV000078787_specs_ms.mgf	79	-1	51	79
0	315.267	MSV000078787_specs_ms.mgf	80	-1	51	80
0	316.13	MSV000078787_specs_ms.mgf	81	-1	51	81
0	316.644	MSV000078787_specs_ms.mgf	82	-1	52	82
0	317.256	MSV000078787_specs_ms.mgf	83	-1	52	83
0	318.181	MSV000078787_specs_ms.mgf	86	-1	55	86
0	318.692	MSV000078787_specs_ms.mgf	87	-1	55	87
0	319.215	MSV000078787_specs_ms.mgf	89	-1	57	89
0	320.156	MSV000078787_specs_ms.mgf	91	-1	57	91
0	320.192	MSV000078787_specs_ms.mgf	93	-1	57	93
