precursor_charge	precursor_mz	identifier	scan	retention_time	cluster_idex	index in file
0	205.211	MSV000078787_specs_ms.mgf	1	-1	1	1
0	206.2	MSV000078787_specs_ms.mgf	2	-1	1	2
0	222.213	MSV000078787_specs_ms.mgf	4	-1	3	4
0	222.215	MSV000078787_specs_ms.mgf	5	-1	3	5
0	276.078	MSV000078787_specs_ms.mgf	29	-1	27	29
0	276.811	MSV000078787_specs_ms.mgf	31	-1	27	31
0	283.111	MSV000078787_specs_ms.mgf	36	-1	33	36
0	283.113	MSV000078787_specs_ms.mgf	37	-1	33	37
0	293.12	MSV000078787_specs_ms.mgf	43	-1	39	43
0	293.197	MSV000078787_specs_ms.mgf	45	-1	39	45
0	295.101	MSV000078787_specs_ms.mgf	46	-1	41	46
0	295.101	MSV000078787_specs_ms.mgf	48	-1	41	48
0	295.125	MSV000078787_specs_ms.mgf	49	-1	41	49
0	295.15	MSV000078787_specs_ms.mgf	50	-1	41	50
0	300.165	MSV000078787_specs_ms.mgf	51	-1	43	51
0	300.203	MSV000078787_specs_ms.mgf	53	-1	43	53
0	300.744	MSV000078787_specs_ms.mgf	54	-1	43	54
0	300.744	MSV000078787_specs_ms.mgf	55	-1	43	55
0	301.147	MSV000078787_specs_ms.mgf	56	-1	43	56
0	301.148	MSV000078787_specs_ms.mgf	57	-1	43	57
0	303.099	MSV000078787_specs_ms.mgf	61	-1	48	61
0	304.085	MSV000078787_specs_ms.mgf	63	-1	48	63
0	304.156	MSV000078787_specs_ms.mgf	64	-1	50	64
0	304.161	MSV000078787_specs_ms.mgf	65	-1	50	65
0	308.072	MSV000078787_specs_ms.mgf	66	-1	51	66
0	308.188	MSV000078787_specs_ms.mgf	67	-1	51	67
0	312.657	MSV000078787_specs_ms.mgf	74	-1	58	74
0	313.183	MSV000078787_specs_ms.mgf	77	-1	58	77
0	317.256	MSV000078787_specs_ms.mgf	83	-1	66	83
0	318.181	MSV000078787_specs_ms.mgf	86	-1	66	86
0	318.692	MSV000078787_specs_ms.mgf	87	-1	66	87
0	319.215	MSV000078787_specs_ms.mgf	89	-1	70	89
0	320.156	MSV000078787_specs_ms.mgf	91	-1	70	91
0	320.192	MSV000078787_specs_ms.mgf	93	-1	70	93
0	325.071	MSV000078787_specs_ms.mgf	97	-1	76	97
0	325.099	MSV000078787_specs_ms.mgf	98	-1	76	98
0	325.103	MSV000078787_specs_ms.mgf	99	-1	76	99
0	325.165	MSV000078787_specs_ms.mgf	100	-1	76	100
0	325.228	MSV000078787_specs_ms.mgf	101	-1	76	101
0	326.198	MSV000078787_specs_ms.mgf	104	-1	78	104
0	327.153	MSV000078787_specs_ms.mgf	105	-1	78	105
0	328.148	MSV000078787_specs_ms.mgf	107	-1	78	107
0	328.153	MSV000078787_specs_ms.mgf	108	-1	78	108
0	330.303	MSV000078787_specs_ms.mgf	111	-1	83	111
0	331.264	MSV000078787_specs_ms.mgf	112	-1	83	112
0	333.148	MSV000078787_specs_ms.mgf	113	-1	84	113
0	333.187	MSV000078787_specs_ms.mgf	115	-1	84	115
0	337.123	MSV000078787_specs_ms.mgf	120	-1	90	120
0	337.184	MSV000078787_specs_ms.mgf	121	-1	90	121
0	337.605	MSV000078787_specs_ms.mgf	122	-1	90	122
0	339.235	MSV000078787_specs_ms.mgf	125	-1	93	125
0	339.256	MSV000078787_specs_ms.mgf	126	-1	93	126
0	342.064	MSV000078787_specs_ms.mgf	127	-1	94	127
0	342.208	MSV000078787_specs_ms.mgf	128	-1	94	128
0	343.145	MSV000078787_specs_ms.mgf	129	-1	95	129
0	343.303	MSV000078787_specs_ms.mgf	131	-1	95	131
0	344.254	MSV000078787_specs_ms.mgf	132	-1	97	132
0	345.163	MSV000078787_specs_ms.mgf	133	-1	97	133
0	347.144	MSV000078787_specs_ms.mgf	134	-1	98	134
0	347.158	MSV000078787_specs_ms.mgf	135	-1	98	135
0	347.161	MSV000078787_specs_ms.mgf	136	-1	98	136
0	347.196	MSV000078787_specs_ms.mgf	137	-1	98	137
0	348.195	MSV000078787_specs_ms.mgf	138	-1	99	138
0	349.188	MSV000078787_specs_ms.mgf	142	-1	99	142
